,Region,Country,Latitude,Longitude,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017
116,Sub-Saharan Africa,Malawi,-13.254307999999998,34.301525,131,4.292,132,4.156,136,3.97
117,Southern Asia,Sri Lanka,7.873054,80.77179699999999,132,4.271,117,4.415,120,4.44
118,Sub-Saharan Africa,Cameroon,7.369722,12.354722,133,4.252,114,4.513,107,4.695
119,Central and Eastern Europe,Bulgaria,42.733883,25.48583,134,4.218,129,4.217,105,4.714
120,Middle East and Northern Africa,Egypt,26.820553000000004,30.802497999999996,135,4.194,120,4.362,104,4.735
121,Middle East and Northern Africa,Yemen,15.552726999999999,48.516388,136,4.077,147,3.724,146,3.593
122,Sub-Saharan Africa,Angola,-11.202691999999999,17.873887,137,4.033,141,3.866,140,3.795
123,Sub-Saharan Africa,Mali,17.570692,-3.9961660000000006,138,3.995,135,4.073,127,4.19
124,Sub-Saharan Africa,Uganda,1.373333,32.290275,141,3.931,145,3.739,133,4.081
125,Sub-Saharan Africa,Senegal,14.497401000000002,-14.452361999999999,142,3.904,128,4.219,115,4.535
126,Sub-Saharan Africa,Gabon,-0.803689,11.609444,143,3.896,134,4.121,118,4.465
127,Sub-Saharan Africa,Niger,17.607789,8.081666,144,3.845,142,3.856,135,4.028
128,Southeastern Asia,Cambodia,12.565679,104.990963,145,3.819,140,3.907,129,4.168
129,Sub-Saharan Africa,Tanzania,-6.369028,34.888822,146,3.781,149,3.666,153,3.349
130,Sub-Saharan Africa,Madagascar,-18.766947000000002,46.869107,147,3.681,148,3.695,144,3.644
131,Sub-Saharan Africa,Chad,15.454166,18.732207,149,3.667,144,3.763,137,3.936
132,Sub-Saharan Africa,Guinea,9.945587,-9.696645,150,3.656,151,3.607,149,3.507
133,Sub-Saharan Africa,Burkina Faso,12.238333,-1.561593,152,3.587,145,3.739,134,4.032
134,Southern Asia,Afghanistan,33.93911,67.709953,153,3.575,154,3.36,141,3.794
135,Sub-Saharan Africa,Rwanda,-1.940278,29.873888,154,3.465,152,3.515,151,3.471
136,Sub-Saharan Africa,Benin,9.30769,2.315834,155,3.34,153,3.484,143,3.657
137,Middle East and Northern Africa,Syria,34.802075,38.996815000000005,156,3.006,156,3.069,152,3.462
138,Sub-Saharan Africa,Burundi,-3.3730559999999996,29.918885999999997,157,2.905,157,2.905,154,2.905
139,Sub-Saharan Africa,Togo,8.619543,0.824782,158,2.839,155,3.303,150,3.495
